Label ID,Text_ID,Offset,Distance From Edge,Edge Correction Factor,Edge Relative Error,Detector #,Sample Measuring Time,Total Sample Counts,Total Sample Counts < 100KeV,Total Sample Counts > 100KeV,Total Sample Counts/Sec > 100KeV,Absolute Sample Error,Relative Sample Error,Relative Sample Percent Error,Background Measuring Time,Total Background Counts,Total Background Counts < 100KeV,Total Background Counts > 100KeV,Total Background Counts/Sec > 100KeV,Absolute Background Error,Relative Background Error,Relative Background Percent Error,Total Corrected Counts/Sec > 100KeV,Absolute Total Error,Relative Total Error,Relative Percent Error,Threshold (KeV),Sample Threshold Channel,Background Threshold Channel,
395-U1554G-2H-1,SECT12466821,0,0.0,2.180000000,0.05718165100,8,300.000,5258,631,4627,15.42333333,68.02205525,0.01470111417,1.470111417,21600.000,165549,27303,138246,6.400277778,371.8144699,0.002689513403,0.2689513403,19.67026111,1.229170414,0.06248876957,6.248876957,100,44,44,
395-U1554G-2H-1,SECT12466821,10,10.0,1.140000000,0.01721574600,8,300.000,7441,839,6602,22.00666667,81.25269226,0.01230728450,1.230728450,21600.000,165549,27303,138246,6.400277778,371.8144699,0.002689513403,0.2689513403,17.79128333,0.4353523390,0.02446997953,2.446997953,100,44,44,
395-U1554G-2H-1,SECT12466821,20,20.0,1.000000000,0.000000000,7,300.000,8404,1088,7316,24.38666667,85.53361912,0.01169130934,1.169130934,21600.000,168367,27589,140778,6.517500000,375.2039445,0.002665217183,0.2665217183,17.86916667,0.2856407271,0.01598511741,1.598511741,100,43,43,
395-U1554G-2H-1,SECT12466821,30,30.0,1.000000000,0.000000000,7,300.000,8323,1048,7275,24.25000000,85.29361055,0.01172420764,1.172420764,21600.000,168367,27589,140778,6.517500000,375.2039445,0.002665217183,0.2665217183,17.73250000,0.2848421834,0.01606328399,1.606328399,100,43,43,
395-U1554G-2H-1,SECT12466821,40,40.0,1.000000000,0.000000000,6,300.000,8781,1272,7509,25.03000000,86.65448632,0.01154008341,1.154008341,21600.000,168794,30488,138306,6.403055556,371.8951465,0.002688929956,0.2688929956,18.62694444,0.2893609702,0.01553453767,1.553453767,100,47,47,
395-U1554G-2H-1,SECT12466821,50,50.0,1.000000000,0.000000000,6,300.000,8843,1208,7635,25.45000000,87.37848705,0.01144446458,1.144446458,21600.000,168794,30488,138306,6.403055556,371.8951465,0.002688929956,0.2688929956,19.04694444,0.2917700654,0.01531847097,1.531847097,100,47,47,
395-U1554G-2H-1,SECT12466821,60,60.0,1.000000000,0.000000000,5,300.000,8733,1124,7609,25.36333333,87.22958214,0.01146400081,1.146400081,21600.000,163189,28109,135080,6.253703704,367.5323115,0.002720849212,0.2720849212,19.10962963,0.2912627126,0.01524167230,1.524167230,100,43,43,
395-U1554G-2H-1,SECT12466821,70,70.0,1.000000000,0.000000000,5,300.000,8334,1095,7239,24.13000000,85.08231309,0.01175332409,1.175332409,21600.000,163189,28109,135080,6.253703704,367.5323115,0.002720849212,0.2720849212,17.87629630,0.2841176810,0.01589354284,1.589354284,100,43,43,
395-U1554G-2H-1,SECT12466821,80,71.0,1.000000000,0.000000000,4,300.000,8892,1208,7684,25.61333333,87.65842800,0.01140791619,1.140791619,21600.000,167479,29050,138429,6.408750000,372.0604790,0.002687735077,0.2687735077,19.20458333,0.2927020314,0.01524125915,1.524125915,100,45,45,
395-U1554G-2H-1,SECT12466821,90,61.0,1.000000000,0.000000000,4,300.000,8706,1119,7587,25.29000000,87.10338685,0.01148060984,1.148060984,21600.000,167479,29050,138429,6.408750000,372.0604790,0.002687735077,0.2687735077,18.88125000,0.2908551210,0.01540444202,1.540444202,100,45,45,
395-U1554G-2H-1,SECT12466821,100,51.0,1.000000000,0.000000000,3,300.000,8497,1175,7322,24.40666667,85.56868586,0.01168651815,1.168651815,21600.000,165283,28104,137179,6.350879630,370.3768351,0.002699952873,0.2699952873,18.05578704,0.2857439024,0.01582561324,1.582561324,100,45,45,
395-U1554G-2H-1,SECT12466821,110,41.0,1.000000000,0.000000000,3,300.000,8654,1201,7453,24.84333333,86.33075929,0.01158335694,1.158335694,21600.000,165283,28104,137179,6.350879630,370.3768351,0.002699952873,0.2699952873,18.49245370,0.2882796096,0.01558904049,1.558904049,100,45,45,
395-U1554G-2H-1,SECT12466821,120,31.0,1.000000000,0.000000000,2,300.000,8411,1203,7208,24.02666667,84.89994111,0.01177857119,1.177857119,21600.000,126366,24521,101845,4.715046296,319.1316343,0.003133503209,0.3133503209,19.31162037,0.2833852115,0.01467433628,1.467433628,100,45,45,
395-U1554G-2H-1,SECT12466821,130,21.0,1.000000000,0.000000000,2,300.000,7978,1124,6854,22.84666667,82.78888814,0.01207891569,1.207891569,21600.000,126366,24521,101845,4.715046296,319.1316343,0.003133503209,0.3133503209,18.13162037,0.2763581820,0.01524178073,1.524178073,100,45,45,
395-U1554G-2H-1,SECT12466821,140,11.0,1.090000000,0.01923956100,1,300.000,7401,977,6424,21.41333333,80.14985964,0.01247662821,1.247662821,21600.000,174944,28675,146269,6.771712963,382.4513041,0.002614711963,0.2614711963,15.95936620,0.4236234797,0.02654387864,2.654387864,100,47,47,
395-U1554G-2H-1,SECT12466821,150,1.0,2.000000000,0.05421048100,1,300.000,4553,592,3961,13.20333333,62.93647591,0.01588903709,1.588903709,21600.000,174944,28675,146269,6.771712963,382.4513041,0.002614711963,0.2614711963,12.86324074,0.8145901359,0.06332697586,6.332697586,100,47,47,
